n1,n2,weight,weight_abs
1,2,0.062930591758,0.062930591758
1,3,-0.017942220355,0.017942220355
1,4,0.33585360295,0.33585360295
1,5,0.034249100306,0.034249100306
1,6,-0.052692905995,0.052692905995
1,7,-0.058010399903,0.058010399903
1,8,0.13508102985,0.13508102985
1,9,0.20130727907,0.20130727907
1,10,0.12690946029,0.12690946029
1,11,0.017786803547,0.017786803547
1,12,-0.12879441098,0.12879441098
1,13,0.081803127611,0.081803127611
1,14,0.20604247889,0.20604247889
1,15,0.19937405992,0.19937405992
1,16,0.0093761406381,0.0093761406381
1,17,0.27006077781,0.27006077781
1,18,0.10774935358,0.10774935358
1,19,0.032580182603,0.032580182603
1,20,-0.047841426379,0.047841426379
1,21,-0.068219714546,0.068219714546
1,22,0.16826694547,0.16826694547
1,23,0.16386233774,0.16386233774
1,24,0.022826516652,0.022826516652
1,25,0.28139913915,0.28139913915
1,26,-0.2289439876,0.2289439876
1,27,0.29000211019,0.29000211019
1,28,0.034848607311,0.034848607311
1,29,-0.16609706658,0.16609706658
1,30,-0.028290874412,0.028290874412
1,31,-0.15542301193,0.15542301193
1,32,-0.19540946982,0.19540946982
1,33,-0.068485497516,0.068485497516
1,34,-0.062505568015,0.062505568015
1,35,-0.075566046368,0.075566046368
1,36,-0.046604833756,0.046604833756
1,37,-0.07573653177,0.07573653177
1,38,-0.053896091609,0.053896091609
2,3,0.11822872071,0.11822872071
2,4,0.1276346305,0.1276346305
2,5,0.17590694974,0.17590694974
2,6,0.20072212779,0.20072212779
2,7,0.074739709731,0.074739709731
2,8,0.049578480264,0.049578480264
2,9,0.064532854341,0.064532854341
2,10,-0.019875592255,0.019875592255
2,11,0.19641593805,0.19641593805
2,12,-0.30085779151,0.30085779151
2,13,-0.22662081487,0.22662081487
2,14,-0.11185584147,0.11185584147
2,15,0.10884620548,0.10884620548
2,16,0.17127633637,0.17127633637
2,17,0.10746040173,0.10746040173
2,18,0.30420323654,0.30420323654
2,19,-0.011339711521,0.011339711521
2,20,0.1523677261,0.1523677261
2,21,-0.069190299153,0.069190299153
2,22,0.13351245408,0.13351245408
2,23,0.13589222614,0.13589222614
2,24,-0.032476217809,0.032476217809
2,25,-0.12044670561,0.12044670561
2,26,-0.0096516338928,0.0096516338928
2,27,0.28032788124,0.28032788124
2,28,-0.13273645751,0.13273645751
2,29,-0.14148714688,0.14148714688
2,30,-0.018806681725,0.018806681725
2,31,0.21599174537,0.21599174537
2,32,0.02277311755,0.02277311755
2,33,-0.22620251072,0.22620251072
2,34,-0.17563799443,0.17563799443
2,35,-0.16590273412,0.16590273412
2,36,-0.15014147655,0.15014147655
2,37,-0.17530884123,0.17530884123
2,38,-0.17364302132,0.17364302132
3,4,0.20233436816,0.20233436816
3,5,0.53553767979,0.53553767979
3,6,0.011361179225,0.011361179225
3,7,0.10801822939,0.10801822939
3,8,0.05555222283,0.05555222283
3,9,0.060551916422,0.060551916422
3,10,-0.059128054882,0.059128054882
3,11,0.15596700293,0.15596700293
3,12,-0.22725095937,0.22725095937
3,13,-0.10809495079,0.10809495079
3,14,-0.0011455940604,0.0011455940604
3,15,0.069946072965,0.069946072965
3,16,0.21329812923,0.21329812923
3,17,0.12141890173,0.12141890173
3,18,0.30291935779,0.30291935779
3,19,0.0043645995399,0.0043645995399
3,20,0.18395143624,0.18395143624
3,21,-0.0093685351138,0.0093685351138
3,22,0.43885518702,0.43885518702
3,23,-0.1281383471,0.1281383471
3,24,-0.12427122024,0.12427122024
3,25,0.17057870614,0.17057870614
3,26,-0.072234140457,0.072234140457
3,27,0.088591071813,0.088591071813
3,28,0.016700336538,0.016700336538
3,29,-0.25696696489,0.25696696489
3,30,-0.050296793341,0.050296793341
3,31,0.037791119799,0.037791119799
3,32,-0.094343755957,0.094343755957
3,33,-0.14717513035,0.14717513035
3,34,-0.1405014153,0.1405014153
3,35,-0.14217095586,0.14217095586
3,36,-0.16000013509,0.16000013509
3,37,-0.14196783626,0.14196783626
3,38,0.010053729195,0.010053729195
4,5,0.30950340355,0.30950340355
4,6,-0.080370875913,0.080370875913
4,7,-0.026275305462,0.026275305462
4,8,0.31801174605,0.31801174605
4,9,0.21646493092,0.21646493092
4,10,0.26740703132,0.26740703132
4,11,0.13098493631,0.13098493631
4,12,-0.072274100899,0.072274100899
4,13,-0.014856357947,0.014856357947
4,14,0.17604065226,0.17604065226
4,15,0.23993716078,0.23993716078
4,16,0.043677153782,0.043677153782
4,17,0.14392761404,0.14392761404
4,18,0.016653697145,0.016653697145
4,19,0.080416449251,0.080416449251
4,20,-0.032718581844,0.032718581844
4,21,-0.11283075902,0.11283075902
4,22,0.11767366468,0.11767366468
4,23,-0.073798501887,0.073798501887
4,24,-0.1028218871,0.1028218871
4,25,0.30443511989,0.30443511989
4,26,-0.12608234568,0.12608234568
4,27,0.089035045354,0.089035045354
4,28,0.15892471532,0.15892471532
4,29,-0.12125735489,0.12125735489
4,30,0.081855488356,0.081855488356
4,31,0.015914002248,0.015914002248
4,32,-0.16424696739,0.16424696739
4,33,-0.10677913573,0.10677913573
4,34,-0.11233013244,0.11233013244
4,35,-0.1428184969,0.1428184969
4,36,-0.11363228229,0.11363228229
4,37,-0.12471086335,0.12471086335
4,38,-0.12616811205,0.12616811205
5,6,0.12543760409,0.12543760409
5,7,-0.070307415251,0.070307415251
5,8,0.080973499467,0.080973499467
5,9,0.0070680834437,0.0070680834437
5,10,-0.021092568763,0.021092568763
5,11,0.2094633758,0.2094633758
5,12,-0.22874825083,0.22874825083
5,13,-0.0061396287257,0.0061396287257
5,14,0.032413142495,0.032413142495
5,15,-0.018001501047,0.018001501047
5,16,0.19685325748,0.19685325748
5,17,0.1146092665,0.1146092665
5,18,0.28713939695,0.28713939695
5,19,-0.20252425873,0.20252425873
5,20,0.03131760751,0.03131760751
5,21,-0.072337865183,0.072337865183
5,22,0.31404083602,0.31404083602
5,23,0.05422410787,0.05422410787
5,24,-0.078129694909,0.078129694909
5,25,0.076574169622,0.076574169622
5,26,-0.14058964896,0.14058964896
5,27,0.19558653387,0.19558653387
5,28,0.042485286939,0.042485286939
5,29,-0.19456021209,0.19456021209
5,30,-0.25039140166,0.25039140166
5,31,-0.033881251022,0.033881251022
5,32,0.010996751657,0.010996751657
5,33,-0.18337110696,0.18337110696
5,34,-0.18012777479,0.18012777479
5,35,-0.17850417284,0.17850417284
5,36,-0.17682133098,0.17682133098
5,37,-0.17675671039,0.17675671039
5,38,0.12647689634,0.12647689634
6,7,-0.02688116022,0.02688116022
6,8,0.012962742149,0.012962742149
6,9,0.11045860882,0.11045860882
6,10,0.012293471098,0.012293471098
6,11,0.075166926571,0.075166926571
6,12,-0.064644803114,0.064644803114
6,13,-0.078478391565,0.078478391565
6,14,-0.11195459786,0.11195459786
6,15,-0.026619958146,0.026619958146
6,16,0.16424309383,0.16424309383
6,17,-0.028916829192,0.028916829192
6,18,0.063358716427,0.063358716427
6,19,0.097579782912,0.097579782912
6,20,0.026008152001,0.026008152001
6,21,0.078803041099,0.078803041099
6,22,0.012047139112,0.012047139112
6,23,0.083208603387,0.083208603387
6,24,0.058832099346,0.058832099346
6,25,-0.063253628117,0.063253628117
6,26,0.057972560958,0.057972560958
6,27,0.072357356247,0.072357356247
6,28,0.01289216388,0.01289216388
6,29,-0.16373798029,0.16373798029
6,30,-0.017437351385,0.017437351385
6,31,0.088335422949,0.088335422949
6,32,0.16984758054,0.16984758054
6,33,0.0023199912531,0.0023199912531
6,34,0.00021666491722,0.00021666491722
6,35,-0.0046998717915,0.0046998717915
6,36,-0.0078391716162,0.0078391716162
6,37,-0.0047394933307,0.0047394933307
6,38,0.00039327185257,0.00039327185257
7,8,0.15328238333,0.15328238333
7,9,0.085170781548,0.085170781548
7,10,0.073739183315,0.073739183315
7,11,0.15041138796,0.15041138796
7,12,-0.030212482244,0.030212482244
7,13,-0.15473228304,0.15473228304
7,14,0.029081017459,0.029081017459
7,15,-0.061873207851,0.061873207851
7,16,-0.021294628405,0.021294628405
7,17,-0.0015536419103,0.0015536419103
7,18,0.0082214345704,0.0082214345704
7,19,0.046499444307,0.046499444307
7,20,0.019281310872,0.019281310872
7,21,0.014500570963,0.014500570963
7,22,-0.017101973087,0.017101973087
7,23,-0.049054892218,0.049054892218
7,24,0.014413040004,0.014413040004
7,25,0.0051213057613,0.0051213057613
7,26,-0.032561890198,0.032561890198
7,27,0.01084207177,0.01084207177
7,28,-0.033584726523,0.033584726523
7,29,-0.0062538411665,0.0062538411665
7,30,0.049856952321,0.049856952321
7,31,0.058868538121,0.058868538121
7,32,-0.00084131258709,0.00084131258709
7,33,0.046037741676,0.046037741676
7,34,0.015448734517,0.015448734517
7,35,0.05576449811,0.05576449811
7,36,0.015768091704,0.015768091704
7,37,0.0072815631277,0.0072815631277
7,38,-0.03216784708,0.03216784708
8,9,0.37015136798,0.37015136798
8,10,0.2614451617,0.2614451617
8,11,0.18528604143,0.18528604143
