n1,n2,weight,weight_abs,Question Short_x,Question Short_y
1,2,-0.023331267042,0.023331267042,vio. conf. in,vio. conf. out
1,3,-0.022455253564,0.022455253564,vio. conf. in,proselytize
2,3,0.0052738592902,0.0052738592902,vio. conf. out,proselytize
1,4,0.16654981991,0.16654981991,vio. conf. in,polity enf. obs.
2,4,0.077629106445,0.077629106445,vio. conf. out,polity enf. obs.
3,4,-0.013786398701,0.013786398701,proselytize,polity enf. obs.
1,5,0.005529686014,0.005529686014,vio. conf. in,apos. punish
2,5,0.13393626312,0.13393626312,vio. conf. out,apos. punish
3,5,0.33883991449,0.33883991449,proselytize,apos. punish
4,5,0.20540593189,0.20540593189,polity enf. obs.,apos. punish
1,6,-0.083629387408,0.083629387408,vio. conf. in,script. written
2,6,0.1919513397,0.1919513397,vio. conf. out,script. written
3,6,0.0076233926451,0.0076233926451,proselytize,script. written
4,6,0.0099864756151,0.0099864756151,polity enf. obs.,script. written
5,6,0.11788824391,0.11788824391,apos. punish,script. written
1,7,-0.048728558897,0.048728558897,vio. conf. in,formal script. int.
2,7,-0.0012552161698,0.0012552161698,vio. conf. out,formal script. int.
3,7,0.088205978179,0.088205978179,proselytize,formal script. int.
4,7,-0.06641244043,0.06641244043,polity enf. obs.,formal script. int.
5,7,-0.04273598965,0.04273598965,apos. punish,formal script. int.
6,7,-0.050691120147,0.050691120147,script. written,formal script. int.
1,8,0.12141780113,0.12141780113,vio. conf. in,monuments
2,8,-0.067114725202,0.067114725202,vio. conf. out,monuments
3,8,0.068331987014,0.068331987014,proselytize,monuments
4,8,0.15042464303,0.15042464303,polity enf. obs.,monuments
5,8,0.050541449361,0.050541449361,apos. punish,monuments
6,8,-0.033789084418,0.033789084418,script. written,monuments
7,8,0.13001822486,0.13001822486,formal script. int.,monuments
1,9,0.1369562544,0.1369562544,vio. conf. in,mass gather
2,9,-0.015614052571,0.015614052571,vio. conf. out,mass gather
3,9,0.047181606253,0.047181606253,proselytize,mass gather
4,9,0.12810622188,0.12810622188,polity enf. obs.,mass gather
5,9,-0.0084591587187,0.0084591587187,apos. punish,mass gather
6,9,0.031844132532,0.031844132532,script. written,mass gather
7,9,0.068487311565,0.068487311565,formal script. int.,mass gather
8,9,0.28657903155,0.28657903155,monuments,mass gather
1,10,0.12915386329,0.12915386329,vio. conf. in,pilgrimages
2,10,-0.049055117785,0.049055117785,vio. conf. out,pilgrimages
3,10,-0.026893047294,0.026893047294,proselytize,pilgrimages
