Entry ID,Q4658,Q4659,Q4668,Q4681,Q4685,Q4730,Q4740,Q4745,Q4758,Q4762,Q4780,Q4792,Q4809,Q4828,Q4955,Q4964,Q4969,Q4978,Q4979,Q4991,Q4995,Q5002,Q5021,Q5024,Q5032,Q5046,Q5077,Q5078,Q5121,Q5122,Q5129,Q5130,Q5143,Q5148,Q5150,Q5152,Q5154,Q5161,weight,World Region,Date
217,-1,-1,-1,-1,-1,-1,-1,1,0,1,0,-1,-1,-1,1,-1,1,1,-1,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,1,0,-1,1,1,-1,0.07692307692307693,Europe,0
224,0,1,-1,0,1,-1,-1,1,1,0,1,-1,1,1,1,-1,-1,-1,-1,-1,0,1,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0.2,Europe,600
224,0,1,-1,0,1,-1,-1,1,1,0,1,-1,1,1,1,-1,-1,-1,-1,-1,0,1,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0.16666666666666666,Europe,700
224,0,1,-1,0,1,-1,-1,1,1,0,1,-1,1,1,1,-1,-1,-1,-1,-1,0,1,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0.14285714285714285,Europe,800
224,0,1,-1,0,1,-1,-1,1,1,0,1,-1,1,1,1,-1,-1,-1,-1,-1,0,1,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0.16666666666666666,Europe,900
224,0,1,-1,0,1,-1,-1,1,1,0,1,-1,1,1,1,-1,-1,-1,-1,-1,0,1,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0.125,Europe,1000
224,0,1,-1,0,1,-1,-1,1,1,0,1,-1,1,1,1,-1,-1,-1,-1,-1,0,1,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0.07142857142857142,Europe,1100
228,1,-1,-1,1,1,1,0,1,1,-1,0,-1,-1,1,1,-1,0,1,-1,-1,-1,0,0,0,0,-1,1,-1,-1,-1,1,-1,-1,1,1,1,1,1,0.1,East Asia,1600
228,1,-1,-1,1,1,1,0,1,1,-1,0,-1,-1,1,1,-1,0,1,-1,-1,-1,0,0,0,0,-1,1,-1,-1,-1,1,-1,-1,1,1,1,1,1,0.08333333333333333,East Asia,1700
228,1,-1,-1,1,1,1,0,1,1,-1,0,-1,-1,1,1,-1,0,1,-1,-1,-1,0,0,0,0,-1,1,-1,-1,-1,1,-1,-1,1,1,1,1,1,0.0625,East Asia,1800
228,1,-1,-1,1,1,1,0,1,1,-1,0,-1,-1,1,1,-1,0,1,-1,-1,-1,0,0,0,0,-1,1,-1,-1,-1,1,-1,-1,1,1,1,1,1,0.047619047619047616,East Asia,1900
230,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,-1,0,-1,1,0,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,0,1,1,-1,1.0,Southwest Asia,-3300
