weighted_degree,Question index,Question Short
7.522272251106304,8,human sacrifice
7.488715020988065,3,scriptures written
7.385855854751,10,supernat. monit. prosoc.
7.269453774656506,17,bodily alterations
6.063900173231888,12,supernat. punish this life
5.889131615739177,4,monuments
5.804295526508241,20,large-scale rituals
5.78738093588746,19,small-scale rituals
5.282824941613883,11,supernat. care rituals
5.0251479034414634,6,afterlife belief
4.924206974937313,16,food taboos
4.828699963835268,13,messianic
4.276191651870873,5,mass gather
4.265962941226,2,proselytize
4.036079924045878,14,social norms prescribed
3.7869327132118045,15,celibacy required
3.7086833994843027,7,reincarnation karma
3.633784784065422,18,sacrifice time
3.3433754708496157,1,violent conflict
3.000751586954518,9,supreme god
