weighted_degree,Question index,Question Short
5.830839039790449,17,bodily alterations
5.770056026745344,3,scriptures written
5.492949992105371,10,supernat. monit. prosoc.
5.392901165635007,8,human sacrifice
4.708447345162519,12,supernat. punish this life
4.41903154130898,4,monuments
4.237295867739051,13,messianic
4.236457355495315,20,large-scale rituals
4.126846019843223,19,small-scale rituals
4.037214045298814,11,supernat. care rituals
3.8793868924669757,6,afterlife belief
3.7804730000131355,5,mass gather
3.67944799570006,16,food taboos
3.495361062502656,2,proselytize
3.4214673562379714,14,social norms prescribed
3.3374485561673937,15,celibacy required
2.9348920024998,7,reincarnation karma
2.7918303962620823,9,supreme god
2.6615177866481146,1,violent conflict within
2.625137627098117,18,sacrifice time
